data_set,node,n_leaves,leaves,best_taxid_match,node_precision,node_taxids,leaf,best_match_taxid,description
ERR13480657,ERR13480657_good_R1.fastq_2716351_NC_049342.1.fna.bam,1,['ERR13480657_good_R1.fastq_2716351_NC_049342.1.fna.bam'],2716351,1.0,[2716351],ERR13480657_good_R1.fastq_2716351_NC_049342.1.fna.bam,2716351,escherichia_phage_500465-1
ERR13480657,ERR13480657_good_R1.fastq_2786405_NC_074583.1.fna.bam,1,['ERR13480657_good_R1.fastq_2786405_NC_074583.1.fna.bam'],2786405,1.0,[2786405],ERR13480657_good_R1.fastq_2786405_NC_074583.1.fna.bam,2786405,ssrna_phage_srr5466369_2
ERR13480657,ERR13480657_good_R1.fastq_2786389_NC_074405.1.fna.bam,1,['ERR13480657_good_R1.fastq_2786389_NC_074405.1.fna.bam'],2786389,1.0,[2786389],ERR13480657_good_R1.fastq_2786389_NC_074405.1.fna.bam,2786389,ssrna_phage_srr5466337_3
ERR13480657,ERR13480657_good_R1.fastq_2886926_NC_005856.1.fna.bam,1,['ERR13480657_good_R1.fastq_2886926_NC_005856.1.fna.bam'],2886926,1.0,[2886926],ERR13480657_good_R1.fastq_2886926_NC_005856.1.fna.bam,2886926,escherichia_phage_p1
ERR13480657,ERR13480657_good_R1.fastq_64320_GCF_004788155.1.fna.bam,1,['ERR13480657_good_R1.fastq_64320_GCF_004788155.1.fna.bam'],64320,1.0,[64320],ERR13480657_good_R1.fastq_64320_GCF_004788155.1.fna.bam,64320,zika_virus
ERR13480648,ERR13480648_good_R1.fastq_10359_NC_006273.2.fna.bam,1,['ERR13480648_good_R1.fastq_10359_NC_006273.2.fna.bam'],10359,1.0,[10359],ERR13480648_good_R1.fastq_10359_NC_006273.2.fna.bam,10359,human_betaherpesvirus_5
ERR13480648,ERR13480648_good_R1.fastq_130309_NC_001454.1.fna.bam,1,['ERR13480648_good_R1.fastq_130309_NC_001454.1.fna.bam'],130309,1.0,[130309],ERR13480648_good_R1.fastq_130309_NC_001454.1.fna.bam,130309,human_mastadenovirus_f
ERR13480648,ERR13480648_good_R1.fastq_687349_NC_014076.1.fna.bam,1,['ERR13480648_good_R1.fastq_687349_NC_014076.1.fna.bam'],687349,1.0,[687349],ERR13480648_good_R1.fastq_687349_NC_014076.1.fna.bam,687349,torque_teno_virus_10
ERR13480648,Inner1,2,"['ERR13480648_good_R1.fastq_482822_NC_042057.1.fna.bam', 'ERR13480648_good_R1.fastq_2847060_NC_049948.1.fna.bam']",2847060,0.5,"[2847060, 482822]",ERR13480648_good_R1.fastq_2847060_NC_049948.1.fna.bam,2847060,escherichia_phage_ev017
ERR13480650,ERR13480650_good_R1.fastq_1815968_NC_031129.1.fna.bam,1,['ERR13480650_good_R1.fastq_1815968_NC_031129.1.fna.bam'],1815968,1.0,[1815968],ERR13480650_good_R1.fastq_1815968_NC_031129.1.fna.bam,1815968,salmonella_phage_sj46
ERR13480650,ERR13480650_good_R1.fastq_10359_NC_006273.2.fna.bam,1,['ERR13480650_good_R1.fastq_10359_NC_006273.2.fna.bam'],10359,1.0,[10359],ERR13480650_good_R1.fastq_10359_NC_006273.2.fna.bam,10359,human_betaherpesvirus_5
ERR13480650,ERR13480650_good_R1.fastq_130309_NC_001454.1.fna.bam,1,['ERR13480650_good_R1.fastq_130309_NC_001454.1.fna.bam'],130309,1.0,[130309],ERR13480650_good_R1.fastq_130309_NC_001454.1.fna.bam,130309,human_mastadenovirus_f
ERR13480650,Inner1,2,"['ERR13480650_good_R1.fastq_2847060_NC_049948.1.fna.bam', 'ERR13480650_good_R1.fastq_186765_NC_001416.1.fna.bam']",186765,0.5,"[186765, 2847060]",ERR13480650_good_R1.fastq_186765_NC_001416.1.fna.bam,186765,lambdavirus
