data_set,node,n_leaves,leaves,best_taxid_match,node_precision,node_taxids,leaf,best_match_taxid,description
ERR13480660,ERR13480660_good_R1.fastq_2843429_NC_049955.1.fna.bam,1,['ERR13480660_good_R1.fastq_2843429_NC_049955.1.fna.bam'],2843429,1.0,[2843429],ERR13480660_good_R1.fastq_2843429_NC_049955.1.fna.bam,2843429,nesevirus
ERR13480660,ERR13480660_good_R1.fastq_2786389_NC_074405.1.fna.bam,1,['ERR13480660_good_R1.fastq_2786389_NC_074405.1.fna.bam'],2786389,1.0,[2786389],ERR13480660_good_R1.fastq_2786389_NC_074405.1.fna.bam,2786389,ssrna_phage_srr5466337_3
ERR13480660,Inner2,2,"['ERR13480660_good_R1.fastq_2786405_NC_074583.1.fna.bam', 'ERR13480660_good_R1.fastq_2946167_NC_017451.1.fna.bam']",2786405,0.5,"[2786405, 2946167]",ERR13480660_good_R1.fastq_2786405_NC_074583.1.fna.bam,2786405,ssrna_phage_srr5466369_2
ERR13488559,ERR13488559_good_R1.fastq_12022_NC_001417.2.fna.bam,1,['ERR13488559_good_R1.fastq_12022_NC_001417.2.fna.bam'],12022,1.0,[12022],ERR13488559_good_R1.fastq_12022_NC_001417.2.fna.bam,12022,escherichia_phage_ms2
ERR13488559,ERR13488559_good_R1.fastq_11250_GCA_965153015.1.fna.bam,1,['ERR13488559_good_R1.fastq_11250_GCA_965153015.1.fna.bam'],11250,1.0,[11250],ERR13488559_good_R1.fastq_11250_GCA_965153015.1.fna.bam,11250,human_respiratory_syncytial_virus
ERR13480659,ERR13480659_good_R1.fastq_12022_NC_001417.2.fna.bam,1,['ERR13480659_good_R1.fastq_12022_NC_001417.2.fna.bam'],12022,1.0,[12022],ERR13480659_good_R1.fastq_12022_NC_001417.2.fna.bam,12022,escherichia_phage_ms2
ERR13480659,ERR13480659_good_R1.fastq_2886930_NC_001422.1.fna.bam,1,['ERR13480659_good_R1.fastq_2886930_NC_001422.1.fna.bam'],2886930,1.0,[2886930],ERR13480659_good_R1.fastq_2886930_NC_001422.1.fna.bam,2886930,escherichia_phage_phix174
ERR13480659,ERR13480659_good_R1.fastq_2716351_NC_049342.1.fna.bam,1,['ERR13480659_good_R1.fastq_2716351_NC_049342.1.fna.bam'],2716351,1.0,[2716351],ERR13480659_good_R1.fastq_2716351_NC_049342.1.fna.bam,2716351,escherichia_phage_500465-1
ERR13480659,ERR13480659_good_R1.fastq_2786389_NC_074405.1.fna.bam,1,['ERR13480659_good_R1.fastq_2786389_NC_074405.1.fna.bam'],2786389,1.0,[2786389],ERR13480659_good_R1.fastq_2786389_NC_074405.1.fna.bam,2786389,ssrna_phage_srr5466337_3
ERR13480659,ERR13480659_good_R1.fastq_2786405_NC_074583.1.fna.bam,1,['ERR13480659_good_R1.fastq_2786405_NC_074583.1.fna.bam'],2786405,1.0,[2786405],ERR13480659_good_R1.fastq_2786405_NC_074583.1.fna.bam,2786405,ssrna_phage_srr5466369_2
ERR13480659,Inner1,2,"['ERR13480659_good_R1.fastq_2946167_NC_017451.1.fna.bam', 'ERR13480659_good_R1.fastq_10239_NZ_CP010905.2.fna.bam']",2731619,0.5,"[2731619, 10239]",ERR13480659_good_R1.fastq_2946167_NC_017451.1.fna.bam,2731619,caudoviricetes
ERR13480645,ERR13480645_good_R1.fastq_130309_NC_001454.1.fna.bam,1,['ERR13480645_good_R1.fastq_130309_NC_001454.1.fna.bam'],130309,1.0,[130309],ERR13480645_good_R1.fastq_130309_NC_001454.1.fna.bam,130309,human_mastadenovirus_f
ERR13480645,ERR13480645_good_R1.fastq_10359_NC_006273.2.fna.bam,1,['ERR13480645_good_R1.fastq_10359_NC_006273.2.fna.bam'],10359,1.0,[10359],ERR13480645_good_R1.fastq_10359_NC_006273.2.fna.bam,10359,human_betaherpesvirus_5
ERR13480645,ERR13480645_good_R1.fastq_2283028_NC_061432.1.fna.bam,1,['ERR13480645_good_R1.fastq_2283028_NC_061432.1.fna.bam'],2283028,1.0,[2283028],ERR13480645_good_R1.fastq_2283028_NC_061432.1.fna.bam,2283028,pseudomonas_phage_ymc12/01/r24
ERR13480645,Inner2,3,"['ERR13480645_good_R1.fastq_482822_NC_042057.1.fna.bam', 'ERR13480645_good_R1.fastq_2847060_NC_049948.1.fna.bam', 'ERR13480645_good_R1.fastq_186765_NC_001416.1.fna.bam']",186765,0.3333333333333333,"[186765, 2847060, 482822]",ERR13480645_good_R1.fastq_186765_NC_001416.1.fna.bam,186765,lambdavirus
ERR13480646,ERR13480646_good_R1.fastq_130309_NC_001454.1.fna.bam,1,['ERR13480646_good_R1.fastq_130309_NC_001454.1.fna.bam'],130309,1.0,[130309],ERR13480646_good_R1.fastq_130309_NC_001454.1.fna.bam,130309,human_mastadenovirus_f
ERR13480646,ERR13480646_good_R1.fastq_2886930_NC_001422.1.fna.bam,1,['ERR13480646_good_R1.fastq_2886930_NC_001422.1.fna.bam'],2886930,1.0,[2886930],ERR13480646_good_R1.fastq_2886930_NC_001422.1.fna.bam,2886930,escherichia_phage_phix174
ERR13480646,ERR13480646_good_R1.fastq_10359_NC_006273.2.fna.bam,1,['ERR13480646_good_R1.fastq_10359_NC_006273.2.fna.bam'],10359,1.0,[10359],ERR13480646_good_R1.fastq_10359_NC_006273.2.fna.bam,10359,human_betaherpesvirus_5
ERR13480646,Inner2,3,"['ERR13480646_good_R1.fastq_2847057_NC_049954.1.fna.bam', 'ERR13480646_good_R1.fastq_2847060_NC_049948.1.fna.bam', 'ERR13480646_good_R1.fastq_186765_NC_001416.1.fna.bam']",186765,0.3333333333333333,"[186765, 2847060, 2847057]",ERR13480646_good_R1.fastq_186765_NC_001416.1.fna.bam,186765,lambdavirus
ERR13485760,Inner6,2,"['ERR13485760_good_R1.fastq_11250_GCA_965153015.1.fna.bam', 'ERR13485760_good_R1.fastq_208893_NC_001803.1.fna.bam']",11250,0.5,"[11250, 208893]",ERR13485760_good_R1.fastq_11250_GCA_965153015.1.fna.bam,11250,human_respiratory_syncytial_virus
ERR13485760,Inner2,2,"['ERR13485760_good_R1.fastq_538123_NC_077846.1.fna.bam', 'ERR13485760_good_R1.fastq_10886_GCF_006298385.1.fna.bam']",10886,0.5,"[10886, 538123]",ERR13485760_good_R1.fastq_10886_GCF_006298385.1.fna.bam,10886,mammalian_orthoreovirus_3_dearing
ERR13485760,Inner7,3,"['ERR13485760_good_R1.fastq_2731619_NC_017451.1.fna.bam', 'ERR13485760_good_R1.fastq_2786405_NC_074583.1.fna.bam', 'ERR13485760_good_R1.fastq_10239_NZ_CP010905.2.fna.bam']",2731619,0.3333333333333333,"[2731619, 2786405, 10239]",ERR13485760_good_R1.fastq_2731619_NC_017451.1.fna.bam,2731619,caudoviricetes
ERR13485760,ERR13485760_good_R1.fastq_10372_NC_001716.2.fna.bam,1,['ERR13485760_good_R1.fastq_10372_NC_001716.2.fna.bam'],10372,1.0,[10372],ERR13485760_good_R1.fastq_10372_NC_001716.2.fna.bam,10372,human_betaherpesvirus_7
ERR13485760,ERR13485760_good_R1.fastq_10359_NC_006273.2.fna.bam,1,['ERR13485760_good_R1.fastq_10359_NC_006273.2.fna.bam'],10359,1.0,[10359],ERR13485760_good_R1.fastq_10359_NC_006273.2.fna.bam,10359,human_betaherpesvirus_5
ERR13485760,ERR13485760_good_R1.fastq_2886930_NC_001422.1.fna.bam,1,['ERR13485760_good_R1.fastq_2886930_NC_001422.1.fna.bam'],2886930,1.0,[2886930],ERR13485760_good_R1.fastq_2886930_NC_001422.1.fna.bam,2886930,escherichia_phage_phix174
ERR13485760,ERR13485760_good_R1.fastq_518987_GCA_036281715.1.fna.bam,1,['ERR13485760_good_R1.fastq_518987_GCA_036281715.1.fna.bam'],518987,1.0,[518987],ERR13485760_good_R1.fastq_518987_GCA_036281715.1.fna.bam,518987,influenza_b_virus_(b/lee/1940)
ERR13485760,Inner5,2,"['ERR13485760_good_R1.fastq_93678_NC_076339.1.fna.bam', 'ERR13485760_good_R1.fastq_687373_NC_014089.1.fna.bam']",93678,0.5,"[93678, 687373]",ERR13485760_good_R1.fastq_93678_NC_076339.1.fna.bam,93678,ttv-like_mini_virus
ERR13485760,Inner8,4,"['ERR13485760_good_R1.fastq_2847055_NC_049947.1.fna.bam', 'ERR13485760_good_R1.fastq_2847061_NC_049953.1.fna.bam', 'ERR13485760_good_R1.fastq_482822_NC_042057.1.fna.bam', 'ERR13485760_good_R1.fastq_186765_NC_001416.1.fna.bam']",186765,0.25,"[186765, 2847055, 482822, 2847061]",ERR13485760_good_R1.fastq_186765_NC_001416.1.fna.bam,186765,lambdavirus
ERR13488566,ERR13488566_good_R1.fastq_12022_NC_001417.2.fna.bam,1,['ERR13488566_good_R1.fastq_12022_NC_001417.2.fna.bam'],12022,1.0,[12022],ERR13488566_good_R1.fastq_12022_NC_001417.2.fna.bam,12022,escherichia_phage_ms2
ERR13488566,Inner1,2,"['ERR13488566_good_R1.fastq_12509_NC_009334.1.fna.bam', 'ERR13488566_good_R1.fastq_10376_LC573556.1.fna.bam']",10376,0.5,"[10376, 12509]",ERR13488566_good_R1.fastq_10376_LC573556.1.fna.bam,10376,human_gammaherpesvirus_4
ERR13488566,ERR13488566_good_R1.fastq_2786405_NC_074583.1.fna.bam,1,['ERR13488566_good_R1.fastq_2786405_NC_074583.1.fna.bam'],2786405,1.0,[2786405],ERR13488566_good_R1.fastq_2786405_NC_074583.1.fna.bam,2786405,ssrna_phage_srr5466369_2
ERR13488566,ERR13488566_good_R1.fastq_2786389_NC_074405.1.fna.bam,1,['ERR13488566_good_R1.fastq_2786389_NC_074405.1.fna.bam'],2786389,1.0,[2786389],ERR13488566_good_R1.fastq_2786389_NC_074405.1.fna.bam,2786389,ssrna_phage_srr5466337_3
